id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4840928529090139,MhaJKC8L9,1805581245,给你一粒粗去丸,#MAMA#拜托导播多给我们中国美女一些镜头吧，别再那么扣搜的给几个零碎的镜头了好嘛？#沈小婷#沈小婷,,,,"MAMA,沈小婷",0,0,0,2022-11-28 23:52,甜桃的iPhone 13,"['https://wx1.sinaimg.cn/large/6b9efbbdly1h8la1sn2otj21jk222k8o.jpg', 'https://wx2.sinaimg.cn/large/6b9efbbdly1h8la1rz3xtj21jk222dvn.jpg', 'https://wx2.sinaimg.cn/large/6b9efbbdly1h8la1tcj3mj20ue0uewr8.jpg']",,
4840927997464322,MhaITvjOi,5193253387,快乐不打烊Ya,#mama#明天谁表演o.o这对我很重要啊啊啊,,,,mama,0,0,2,2022-11-28 23:50,HarmonyOS设备,,,
4840927836766834,MhaIDsomu,7155131382,是啊格格邬,#MAMA#明天哪能看直播,,,,MAMA,0,2,1,2022-11-28 23:49,iPhone客户端,,,
4840927489691858,MhaI4EFii,5599706440,peachhh1989,#MAMA#刚看完名单，作为初中开始混韩娱的路人粉，男团一个都不认识（知道是哪个公司的，但成员一个都不知道那种）只能说更新换代的太快了，唉名单里有熟人，但还是怀念以前的舞台，有期待的男女团合作，大型团也很多，实力强，基本都开麦，现在我只会看一些cut，不会追全程感受不到从前的那种快乐了~老人发言,,,,MAMA,0,0,0,2022-11-28 23:48,OPPO随光而变R17,,,
4840927217064123,MhaHDtDHt,5779166066,桃子甜不甜·,#MAMA#蹲一个直播了,,,,MAMA,0,2,2,2022-11-28 23:47,🍑のiPhone 14,,,
4840926612296425,MhaGF9Dp7,5105007117,互联网吃瓜爱好者_888,#MAMA#期待哇现在好喜欢kpop的年末舞台呜呜呜,,,,MAMA,0,0,0,2022-11-28 23:45,HUAWEI Mate 20,,,
4840925987870231,MhaFEx1pd,7397818814,康啊几懵懵_,#MAMA#居然已经到了只能回顾套叔以前的舞台的程度感叹一下，套叔的年末performance真的legend,,,,MAMA,0,0,1,2022-11-28 23:42,OPPO A96 5G,,,
4840925752464677,MhaFhalaR,7331546823,允默chan,#MAMA#期待门面主舞黄铉辰,,,,MAMA,0,0,0,2022-11-28 23:41,Android,,,
4840924804809374,MhaDKkb8y,7360187445,一壶清江月,#MAMA#想看男团，嗯。,,,,MAMA,0,0,0,2022-11-28 23:37,荣耀20,,,
4840923961234306,MhaCo5b6a,5198035405,Xchcdwhwd,#MAMA#我等的快死了，你说我期待吗？,,,,MAMA,0,0,0,2022-11-28 23:34,nova7你在焦点在,,,
4841292217977005,Mhkclxtbn,7755234583,纱碧的爹,#MAMA#好幸福的一晚,,,,MAMA,0,0,0,2022-11-29 23:57,Android,,,
4841292188356702,Mhkciz3Xw,7287314408,Hwnjiyong,mana又开始分猪肉了捏BIGBANG权志龙#mama#LHwnjiyong的微博视频,,,,mama,0,0,8,2022-11-29 23:57,BIGBANG超话,,"http://f.video.weibocdn.com/o0/Om6S2LULlx081aDtSWYM01041200gegX0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1670784117&ssig=YatuJpqDYv&KID=unistore,video",
4841292100803092,Mhkca3mV6,3977025764,小不酸柠糖·,#MAMA#哇，好多人好多舞台可以看，好欢乐，看的我是笑中带泪了内娱醒醒吧,,,,MAMA,0,0,0,2022-11-29 23:57,荣耀20i,,,
4841291508094011,MhkbcxXCz,6311860029,虹子和窝,#MAMA#只能说是祖上曾经辉煌过,,,,MAMA,0,2,2,2022-11-29 23:55,荣耀30 5G,,,
4841291454090757,Mhkb7habX,7194106241,L徐一,#MAMA#我真服了DKZ舞台的老师到底在切什么景啊，基本都是在大范围的晃，我看的是舞台！不是你的舞台CG啊大哥。,,,,MAMA,0,0,0,2022-11-29 23:54,iPhone客户端,,,
4841291306762868,MhkaSsnkw,5759273026,林纳盐,#MAMA#今天看了mama,,,,MAMA,0,0,0,2022-11-29 23:54,荣耀20i,"['https://wx2.sinaimg.cn/large/006hLk0qgy1h8mfq7jm7ej30s80eyqfk.jpg', 'https://wx3.sinaimg.cn/large/006hLk0qgy1h8mfq8u2a7j31t00u07bf.jpg', 'https://wx4.sinaimg.cn/large/006hLk0qgy1h8mfqa39dcj31t00u045j.jpg', 'https://wx1.sinaimg.cn/large/006hLk0qgy1h8mfqb3g22j31t00u0wlf.jpg', 'https://wx1.sinaimg.cn/large/006hLk0qgy1h8mfqc2sdbj31t00u07bt.jpg', 'https://wx2.sinaimg.cn/large/006hLk0qgy1h8mfqd1u59j31t00u0gsi.jpg', 'https://wx2.sinaimg.cn/large/006hLk0qgy1h8mfqdusoij31t00u0wka.jpg', 'https://wx2.sinaimg.cn/large/006hLk0qgy1h8mfqexgmlj31t00u0gs3.jpg', 'https://wx4.sinaimg.cn/large/006hLk0qgy1h8mfqg4d22j31t00u0tfq.jpg']",,
4841291239657704,MhkaLEwpq,7802535287,田种瓜得瓜,#MAMA#不知道在拍些什么😓这么敷衍不如不开,,,,MAMA,0,1,2,2022-11-29 23:54,iPhone客户端,,,
